Top pages,Clicks,Impressions,CTR,Position
https://mini-diarium.com/,371,4611,8.05%,5.3
https://mini-diarium.com/encrypted-journal/,39,4156,0.94%,7.28
https://mini-diarium.com/docs/,11,748,1.47%,5.52
https://mini-diarium.com/blog/private-journal-app-how-to-choose/,5,1952,0.26%,10.22
https://mini-diarium.com/docs/export/,5,398,1.26%,4.6
https://mini-diarium.com/compare/,4,608,0.66%,7.02
https://mini-diarium.com/docs/import/,4,416,0.96%,5.95
https://mini-diarium.com/docs/writing-entries/,4,141,2.84%,6.04
https://mini-diarium.com/blog/journal-app-without-cloud/,3,414,0.72%,7.35
https://mini-diarium.com/blog/,2,560,0.36%,6.61
https://mini-diarium.com/blog/private-diary-app-for-desktop/,2,311,0.64%,10.66
https://mini-diarium.com/blog/mini-diary-alternative/,2,219,0.91%,7.56
https://mini-diarium.com/blog/day-one-alternative-for-private-offline-journaling/,1,273,0.37%,7.42
https://mini-diarium.com/blog/what-is-an-encrypted-diary/,1,196,0.51%,7.78
https://mini-diarium.com/docs/plugins/,1,37,2.7%,8.84
https://mini-diarium.com/blog/notion-alternative-for-journaling/,1,37,2.7%,9.92
https://mini-diarium.com/docs/navigating/,1,31,3.23%,6.81
https://mini-diarium.com/blog/journal-app-ai-privacy/,0,497,0%,8.87
https://mini-diarium.com/blog/desktop-diary-app/,0,170,0%,10.76
https://mini-diarium.com/blog/why-an-offline-journal-is-different/,0,104,0%,8.21
https://mini-diarium.com/blog/obsidian-alternative-for-journaling/,0,102,0%,7.56
https://mini-diarium.com/docs/faq/,0,94,0%,5.81
https://mini-diarium.com/docs/preferences/,0,77,0%,6.16
https://mini-diarium.com/docs/backups/,0,52,0%,5.88
https://mini-diarium.com/#features,0,50,0%,2.98
https://mini-diarium.com/#security,0,50,0%,2.98
https://mini-diarium.com/blog/offline-journal-that-you-own/,0,50,0%,6.4
https://mini-diarium.com/docs/getting-started/,0,47,0%,7.26
https://mini-diarium.com/blog/encrypted-journal-vs-cloud-notes-app/,0,45,0%,8.82
https://mini-diarium.com/blog/local-first-journaling-and-ownership/,0,27,0%,5.63
https://mini-diarium.com/#platforms,0,13,0%,2.23
https://mini-diarium.com/blog/why-mini-diarium-exists/,0,12,0%,7.25
https://mini-diarium.com/#facts,0,11,0%,1.64
https://mini-diarium.com/docs/statistics/,0,10,0%,5.9
https://mini-diarium.com/privacy/,0,7,0%,5.43
https://mini-diarium.com/#about,0,6,0%,1
https://mini-diarium.com/docs/search/,0,5,0%,10.2
https://mini-diarium.com/ai-crawlers.txt,0,5,0%,110
