Top queries,Clicks,Impressions,CTR,Position
mini diarium,239,524,45.61%,1.28
diarium linux,5,93,5.38%,3.48
encrypted journal app,4,43,9.3%,8.07
mini diarium app,3,9,33.33%,1
diarium,2,828,0.24%,6.31
encrypted diary,2,74,2.7%,11.64
diarium for windows,2,51,3.92%,7.25
encrypted journal,2,43,4.65%,6.21
diarium vs day one,1,28,3.57%,7.04
diarium web,1,26,3.85%,7.15
download diarium,1,15,6.67%,8.47
diarium free download for pc,1,13,7.69%,8.38
diarium for linux,1,12,8.33%,3.33
diariosmínimos blog platform private entries diariosmínimos,0,55,0%,1.62
diarium download,0,49,0%,9
diariosmínimos blog privado diariosmínimos,0,46,0%,8.04
diarum,0,36,0%,6.5
private journal app,0,34,0%,40.03
diarium windows,0,26,0%,6.69
is entries ai safe,0,22,0%,12.64
diariosmínimos blog site private entries diariosmínimos,0,21,0%,3.67
diarium official website,0,21,0%,7.1
secure journal app,0,17,0%,43.82
mineadiary,0,16,0%,7.69
mini diary,0,16,0%,11
mini diary app,0,15,0%,8.87
how to put a lock on my one day diary app laptop,0,13,0%,19.85
diariosmínimos blog,0,11,0%,7.73
diarium windows free,0,10,0%,7.3
diariam,0,10,0%,8.6
private journaling app,0,10,0%,37.5
journal private,0,8,0%,35.88
darium,0,7,0%,20
diariosmínimos platform blog privado diariosmínimos,0,6,0%,6.17
private diary app,0,6,0%,41.33
diariosmínimos blog private entries diariosmínimos,0,5,0%,3.6
diariosmínimos blog platform private entries,0,5,0%,6
day one vs diarium,0,5,0%,6.8
dairium,0,5,0%,7.8
desktop diary,0,5,0%,9.2
mini-diarium,0,5,0%,14.6
journal site private,0,5,0%,18.6
private writing app,0,5,0%,25.2
diarium online,0,4,0%,5.25
diarium web app,0,4,0%,7.25
encrypted diary app,0,4,0%,8
diarium pc,0,3,0%,6
diaarium,0,3,0%,6.33
diarima,0,3,0%,8.33
diarium apk,0,3,0%,21.67
password protected journal,0,3,0%,30
minidar,0,3,0%,43.33
private journaling,0,3,0%,47.33
secure online diary,0,3,0%,55.67
minidiary,0,2,0%,3.5
ещё!,0,2,0%,4.5
yes,0,2,0%,6
diarium journal app official features,0,2,0%,7
diariu,0,2,0%,7.5
"""diaroum",0,2,0%,8
diariosmínimos plataforma blog privado diariosmínimos,0,2,0%,8
diaruim,0,2,0%,8.5
diarium app download,0,2,0%,10
diarium windows app,0,2,0%,10
encrypted writing,0,2,0%,10.5
diary mini,0,2,0%,12
password protected journal app,0,2,0%,27.5
private photo journal app,0,2,0%,28.5
journal online private,0,2,0%,60
features of diary management software,0,2,0%,71.5
diariosmínimos blog private entries site diariosmínimos,0,1,0%,1
diarium price,0,1,0%,1
digital diary for windows,0,1,0%,1
is diarium free,0,1,0%,1
linux,0,1,0%,1
mindiary,0,1,0%,1
"which digital journaling app is most popular and easy to use for beginners 
in spain?",0,1,0%,1
diary author download,0,1,0%,2
how much is it?,0,1,0%,2
뭔소리여,0,1,0%,2
diariosmínimos blog privado,0,1,0%,3
diarium app,0,1,0%,3
diarium cherry,0,1,0%,3
free,0,1,0%,3
offline,0,1,0%,3
with password,0,1,0%,3
diarium.,0,1,0%,4
journal app?,0,1,0%,6
there is no + sign,0,1,0%,6
да!,0,1,0%,6
diariosmínimos blog privado entradas privadas diariosmínimos,0,1,0%,7
diarium journal app features official,0,1,0%,7
사진ㄱㄱ,0,1,0%,7
diarium app windows,0,1,0%,8
diarium login,0,1,0%,8
encrypted dailies distribution,0,1,0%,8
is it worth?,0,1,0%,8
is there a windows equivalent,0,1,0%,8
mini diar,0,1,0%,8
private offline journal,0,1,0%,8
diariosmínimos blog diariosmínimos,0,1,0%,9
day one vs obsidian,0,1,0%,10
diarium diary app,0,1,0%,11
i want something local,0,1,0%,12
is journal app private,0,1,0%,12
diarium mac,0,1,0%,13
альтернативы obsidian,0,1,0%,14
linux diary app,0,1,0%,17
cloud note storage,0,1,0%,18
diarium скачать,0,1,0%,19
diarium free,0,1,0%,24
export day one to apple journal,0,1,0%,32
secure diary,0,1,0%,34
declarium,0,1,0%,37
secure diary app,0,1,0%,39
diary app that can be shared,0,1,0%,47
online diary private,0,1,0%,48
best private diary app,0,1,0%,53
