"Keyword","Impressions","Clicks","CTR","Avg. Position"
"diarium","509","1","0.2%","6.903737917485265"
"mini diarium","135","47","34.81%","2.955556296296296"
"mini diary","95","8","8.42%","2.9684189473684217"
"diarium pc","62","1","1.61%","7.693545161290323"
"diarium pc diary app","17","0","0%","5.8235117647058825"
"diarium windows journaling app","15","0","0%","6.26666"
"diary app for windows","10","2","20%","6.3"
"diarium for windows","9","0","0%","8.333333333333334"
"offline diary for pc","9","0","0%","6.555555555555555"
"diarium log in page","8","0","0%","7"
"mini diaries","8","0","0%","4.5"
"dairium","7","0","0%","8"
"diarium app","7","0","0%","9.714285714285714"
"diarium download","6","0","0%","8.833333333333334"
"diriun","6","0","0%","3"
"mini-diary","6","0","0%","2"
"diarium link to get started","6","0","0%","6.5"
"diarium journaling app for windows","6","0","0%","4"
"mini diarium wiki","5","0","0%","6.2"
"windowsdiary","5","0","0%","6.8"
"diairum","5","0","0%","6.4"
"diarium html export","4","0","0%","5"
"mini diary download","4","2","50%","1.5"
"desktop diary windows","4","0","0%","6.75"
"work journal for linux pc","4","0","0%","6.5"
"open source free journal notepad encrypted","4","0","0%","6"
"darium","4","0","0%","9.000025"
"diarium windows journal app","4","0","0%","3.25"
"diarium free download for pc","4","0","0%","8.5"
"offline journal","4","0","0%","8.75"
"duary window","3","0","0%","7"
""/applications/mini diarium.app"","3","3","100%","1"
"mini-diarium","3","1","33.33%","5.6667"
"diarium app for pc","3","0","0%","9"
"diarium desktop","3","0","0%","6.333333333333333"
"miny diary","3","0","0%","2"
"mini dairium","3","1","33.33%","5.6667"
"diarium app windows journal encryption technical architecture","3","1","33.33%","5.3333"
"diarium windows 11 download free","3","0","0%","8.666666666666666"
"offline encrypted diary","3","0","0%","3"
"download diarium for windows","3","0","0%","9.666666666666666"
"diarium online","3","0","0%","7.666666666666667"
"journal app for windows","3","0","0%","9.333333333333334"
"diarium free download for windows","3","0","0%","10"
"can i make multiple entries on the same day in diarium telkom","3","0","0%","3"
"free offline diary with tables windows","3","0","0%","3.3333333333333335"
"https://mini-diarium.com/","3","1","33.33%","5.3333"
""private diary" скачать для компьютера","2","0","0%","5"
"diary app for pc","2","0","0%","9"
"offline journal app","2","0","0%","8"
"private diary","2","0","0%","10"
"diary offline","2","0","0%","5.5"
"minitial diarium","2","1","50%","2"
"diarium app for mini ipad","2","0","0%","4.5"
"mini diry","2","0","0%","1"
"diarium windows 10","2","0","0%","8"
"turnseq the journelling app in windows","2","0","0%","8"
"private diary windows app","2","0","0%","3"
"diarium vs day one","2","0","0%","7"
"offline diary app for windows","2","0","0%","4"
"desktop diary","2","0","0%","7.5"
"mini diarium spell check","2","0","0%","3.5"
"diarium.exe","2","0","0%","7.5"
"can you lock certain entries in diarium","2","0","0%","3.5"
"diarium download for windows","2","0","0%","8.5"
"encrypted daily journal for kids","2","0","0%","5"
"mini‑diarium","2","1","50%","2.5"
"can i open diarium from web","2","0","0%","4"
"mini diary setup","2","0","0%","6.5"
"diary app windows","2","0","0%","7"
"opesnpurce windows journal","2","1","50%","5"
"journal app for windows saves to desktop","2","0","0%","5"
"diarium journal","2","0","0%","7"
"diarium show day of week in entry","2","0","0%","3.5"
"encrypted journal software","2","0","0%","2.5"
"tutorial for diarium journal","2","0","0%","5"
"free journal offline","2","0","0%","9"
"diarium app per pc","2","0","0%","8"
"mini diarium下载","2","0","0%","5"
"github ldiary","2","0","0%","7"
"diarium linux","2","0","0%","5"
"journal app for pc","2","0","0%","6"
"diarium authentificator","2","0","0%","6"
"encrypted journal offline local first private notes","2","1","50%","4"
"diarium journaling app","2","0","0%","10"
"diarium help","2","0","0%","3"
"why is a journal offline?","2","0","0%","2.5"
