"Date","Citations","Cited Pages"
"5/22/2026 12:00:00 AM","1","1"
"5/23/2026 12:00:00 AM","0","0"
"5/24/2026 12:00:00 AM","2","1"
"5/25/2026 12:00:00 AM","3","1"
"5/26/2026 12:00:00 AM","0","0"
"5/27/2026 12:00:00 AM","0","0"
"5/28/2026 12:00:00 AM","0","0"
"5/29/2026 12:00:00 AM","3","1"
"5/30/2026 12:00:00 AM","5","2"
"5/31/2026 12:00:00 AM","1","1"
"6/1/2026 12:00:00 AM","4","3"
"6/2/2026 12:00:00 AM","4","1"
"6/3/2026 12:00:00 AM","5","2"
"6/4/2026 12:00:00 AM","2","1"
"6/5/2026 12:00:00 AM","0","0"
"6/6/2026 12:00:00 AM","0","0"
"6/7/2026 12:00:00 AM","0","0"
"6/8/2026 12:00:00 AM","1","1"
"6/9/2026 12:00:00 AM","1","1"
"6/10/2026 12:00:00 AM","0","0"
"6/11/2026 12:00:00 AM","1","1"
"6/12/2026 12:00:00 AM","3","1"
"6/13/2026 12:00:00 AM","0","0"
"6/14/2026 12:00:00 AM","0","0"
"6/15/2026 12:00:00 AM","0","0"
"6/16/2026 12:00:00 AM","0","0"
"6/17/2026 12:00:00 AM","9","2"
"6/18/2026 12:00:00 AM","0","0"
"6/19/2026 12:00:00 AM","1","1"
"6/20/2026 12:00:00 AM","5","1"
"6/21/2026 12:00:00 AM","1","1"
"6/22/2026 12:00:00 AM","0","0"
"6/23/2026 12:00:00 AM","1","1"
"6/24/2026 12:00:00 AM","4","1"
"6/25/2026 12:00:00 AM","0","0"
"6/26/2026 12:00:00 AM","2","1"
"6/27/2026 12:00:00 AM","4","1"
"6/28/2026 12:00:00 AM","0","0"
"6/29/2026 12:00:00 AM","0","0"
"6/30/2026 12:00:00 AM","8","2"
"7/1/2026 12:00:00 AM","4","2"
"7/2/2026 12:00:00 AM","1","1"
"7/3/2026 12:00:00 AM","0","0"
"7/4/2026 12:00:00 AM","1","1"
"7/5/2026 12:00:00 AM","3","2"
"7/6/2026 12:00:00 AM","0","0"
"7/7/2026 12:00:00 AM","1","1"
"7/8/2026 12:00:00 AM","1","1"
"7/9/2026 12:00:00 AM","1","1"
"7/10/2026 12:00:00 AM","1","1"
"7/11/2026 12:00:00 AM","4","2"
"7/12/2026 12:00:00 AM","1","1"
"7/13/2026 12:00:00 AM","18","6"
"7/14/2026 12:00:00 AM","2","1"
"7/15/2026 12:00:00 AM","0","0"
"7/16/2026 12:00:00 AM","1","1"
"7/17/2026 12:00:00 AM","0","0"
"7/18/2026 12:00:00 AM","1","1"
"7/19/2026 12:00:00 AM","6","2"
"7/20/2026 12:00:00 AM","15","1"
"7/21/2026 12:00:00 AM","0","0"
"7/22/2026 12:00:00 AM","2","1"
"7/23/2026 12:00:00 AM","3","1"
"7/24/2026 12:00:00 AM","3","3"
"7/25/2026 12:00:00 AM","0","0"
"7/26/2026 12:00:00 AM","0","0"
"7/27/2026 12:00:00 AM","3","1"
"7/28/2026 12:00:00 AM","0","0"
"7/29/2026 12:00:00 AM","3","1"
"7/30/2026 12:00:00 AM","0","0"
"7/31/2026 12:00:00 AM","2","2"
"8/1/2026 12:00:00 AM","0","0"
"8/2/2026 12:00:00 AM","1","1"
"8/3/2026 12:00:00 AM","0","0"
"8/4/2026 12:00:00 AM","0","0"
"8/5/2026 12:00:00 AM","0","0"
"8/6/2026 12:00:00 AM","0","0"
"8/7/2026 12:00:00 AM","0","0"
"8/8/2026 12:00:00 AM","0","0"
"8/9/2026 12:00:00 AM","1","1"
"8/10/2026 12:00:00 AM","0","0"
"8/11/2026 12:00:00 AM","2","1"
"8/12/2026 12:00:00 AM","2","2"
"8/13/2026 12:00:00 AM","3","2"
"8/14/2026 12:00:00 AM","3","1"
"8/15/2026 12:00:00 AM","11","4"
"8/16/2026 12:00:00 AM","0","0"
"8/17/2026 12:00:00 AM","0","0"
"8/18/2026 12:00:00 AM","0","0"
"8/19/2026 12:00:00 AM","4","3"
