"Date","Clicks","Impressions","Avg. CTR"
"5/22/2026 12:00:00 AM","0","39","0"
"5/23/2026 12:00:00 AM","4","31","12.9"
"5/24/2026 12:00:00 AM","0","37","0"
"5/25/2026 12:00:00 AM","0","34","0"
"5/26/2026 12:00:00 AM","0","28","0"
"5/27/2026 12:00:00 AM","3","45","6.67"
"5/28/2026 12:00:00 AM","2","40","5"
"5/29/2026 12:00:00 AM","3","35","8.57"
"5/30/2026 12:00:00 AM","1","14","7.14"
"5/31/2026 12:00:00 AM","1","26","3.85"
"6/1/2026 12:00:00 AM","1","54","1.85"
"6/2/2026 12:00:00 AM","3","52","5.77"
"6/3/2026 12:00:00 AM","1","56","1.79"
"6/4/2026 12:00:00 AM","0","42","0"
"6/5/2026 12:00:00 AM","1","37","2.7"
"6/6/2026 12:00:00 AM","1","22","4.55"
"6/7/2026 12:00:00 AM","2","48","4.17"
"6/8/2026 12:00:00 AM","4","65","6.15"
"6/9/2026 12:00:00 AM","2","35","5.71"
"6/10/2026 12:00:00 AM","0","31","0"
"6/11/2026 12:00:00 AM","4","25","16"
"6/12/2026 12:00:00 AM","1","18","5.56"
"6/13/2026 12:00:00 AM","0","25","0"
"6/14/2026 12:00:00 AM","0","27","0"
"6/15/2026 12:00:00 AM","1","28","3.57"
"6/16/2026 12:00:00 AM","2","27","7.41"
"6/17/2026 12:00:00 AM","4","27","14.81"
"6/18/2026 12:00:00 AM","1","7","14.29"
"6/19/2026 12:00:00 AM","0","12","0"
"6/20/2026 12:00:00 AM","0","9","0"
"6/21/2026 12:00:00 AM","1","15","6.67"
"6/22/2026 12:00:00 AM","1","14","7.14"
"6/23/2026 12:00:00 AM","5","29","17.24"
"6/24/2026 12:00:00 AM","0","18","0"
"6/25/2026 12:00:00 AM","2","15","13.33"
"6/26/2026 12:00:00 AM","3","33","9.09"
"6/27/2026 12:00:00 AM","2","18","11.11"
"6/28/2026 12:00:00 AM","1","16","6.25"
"6/29/2026 12:00:00 AM","1","22","4.55"
"6/30/2026 12:00:00 AM","1","8","12.5"
"7/1/2026 12:00:00 AM","1","19","5.26"
"7/2/2026 12:00:00 AM","4","15","26.67"
"7/3/2026 12:00:00 AM","1","23","4.35"
"7/4/2026 12:00:00 AM","2","14","14.29"
"7/5/2026 12:00:00 AM","1","16","6.25"
"7/6/2026 12:00:00 AM","2","6","33.33"
"7/7/2026 12:00:00 AM","0","9","0"
"7/8/2026 12:00:00 AM","0","25","0"
"7/9/2026 12:00:00 AM","2","25","8"
"7/10/2026 12:00:00 AM","3","20","15"
"7/11/2026 12:00:00 AM","2","21","9.52"
"7/12/2026 12:00:00 AM","1","8","12.5"
"7/13/2026 12:00:00 AM","4","29","13.79"
"7/14/2026 12:00:00 AM","1","24","4.17"
"7/15/2026 12:00:00 AM","0","14","0"
"7/16/2026 12:00:00 AM","0","12","0"
"7/17/2026 12:00:00 AM","1","19","5.26"
"7/18/2026 12:00:00 AM","3","30","10"
"7/19/2026 12:00:00 AM","1","47","2.13"
"7/20/2026 12:00:00 AM","1","29","3.45"
"7/21/2026 12:00:00 AM","0","16","0"
"7/22/2026 12:00:00 AM","2","30","6.67"
"7/23/2026 12:00:00 AM","1","24","4.17"
"7/24/2026 12:00:00 AM","1","14","7.14"
"7/25/2026 12:00:00 AM","1","14","7.14"
"7/26/2026 12:00:00 AM","3","24","12.5"
"7/27/2026 12:00:00 AM","2","58","3.45"
"7/28/2026 12:00:00 AM","0","35","0"
"7/29/2026 12:00:00 AM","0","27","0"
"7/30/2026 12:00:00 AM","4","30","13.33"
"7/31/2026 12:00:00 AM","1","28","3.57"
"8/1/2026 12:00:00 AM","1","25","4"
"8/2/2026 12:00:00 AM","3","36","8.33"
"8/3/2026 12:00:00 AM","1","28","3.57"
"8/4/2026 12:00:00 AM","1","20","5"
"8/5/2026 12:00:00 AM","0","26","0"
"8/6/2026 12:00:00 AM","1","31","3.23"
"8/7/2026 12:00:00 AM","0","41","0"
"8/8/2026 12:00:00 AM","2","34","5.88"
"8/9/2026 12:00:00 AM","0","33","0"
"8/10/2026 12:00:00 AM","3","47","6.38"
"8/11/2026 12:00:00 AM","2","57","3.51"
"8/12/2026 12:00:00 AM","4","82","4.88"
"8/13/2026 12:00:00 AM","7","55","12.73"
"8/14/2026 12:00:00 AM","0","33","0"
"8/15/2026 12:00:00 AM","0","22","0"
"8/16/2026 12:00:00 AM","3","37","8.11"
"8/17/2026 12:00:00 AM","1","46","2.17"
"8/18/2026 12:00:00 AM","0","44","0"
"8/19/2026 12:00:00 AM","1","32","3.12"
