Country,Clicks,Impressions,CTR,Position
India,87,635,13.7%,5.63
United States,69,5736,1.2%,7.95
Germany,31,608,5.1%,6.12
United Kingdom,20,548,3.65%,8.02
Brazil,17,221,7.69%,6.44
Canada,14,394,3.55%,6.14
Australia,13,244,5.33%,6.28
South Korea,10,188,5.32%,6.21
Pakistan,10,55,18.18%,5.95
Japan,9,489,1.84%,6.38
Spain,9,163,5.52%,6.06
Russia,8,115,6.96%,6.25
Netherlands,7,425,1.65%,6.26
Austria,7,90,7.78%,5.24
Indonesia,6,219,2.74%,7.68
China,5,82,6.1%,6.65
Turkey,5,80,6.25%,7.25
Portugal,5,64,7.81%,5.48
Belgium,5,52,9.62%,5.79
Israel,5,37,13.51%,5.89
Italy,4,232,1.72%,6.81
Mexico,4,81,4.94%,7.59
Hong Kong,4,71,5.63%,4.92
Iran,4,54,7.41%,6.59
Egypt,4,48,8.33%,8.23
Denmark,4,36,11.11%,4.86
Greece,4,28,14.29%,3.75
France,3,217,1.38%,5.57
Singapore,3,170,1.76%,6.52
Poland,3,131,2.29%,6.08
Switzerland,3,64,4.69%,7.86
Ukraine,3,60,5%,6.82
New Zealand,3,51,5.88%,7.84
Bangladesh,3,50,6%,11.14
South Africa,3,43,6.98%,5.91
Hungary,3,42,7.14%,4.48
Morocco,3,27,11.11%,9.11
Philippines,2,142,1.41%,7.11
Vietnam,2,127,1.57%,6.24
Czechia,2,74,2.7%,7.24
Thailand,2,70,2.86%,6.16
Finland,2,53,3.77%,6.75
Argentina,2,51,3.92%,10.02
Colombia,2,30,6.67%,7.63
Lithuania,2,28,7.14%,4.64
Peru,2,26,7.69%,5.54
Nigeria,2,25,8%,5.56
Serbia,2,22,9.09%,5.95
Croatia,2,20,10%,5.5
Kenya,2,14,14.29%,4.14
Sri Lanka,2,14,14.29%,6
Malaysia,1,84,1.19%,6.15
Taiwan,1,84,1.19%,6.83
Sweden,1,63,1.59%,5.19
Romania,1,55,1.82%,6.58
Saudi Arabia,1,42,2.38%,7.17
Norway,1,40,2.5%,6.35
Ireland,1,38,2.63%,5.03
Ecuador,1,25,4%,8.16
Chile,1,24,4.17%,6.54
Algeria,1,22,4.55%,5.41
Nepal,1,17,5.88%,4.29
Uzbekistan,1,13,7.69%,7.38
Iraq,1,13,7.69%,16.08
Georgia,1,12,8.33%,4
Tunisia,1,11,9.09%,3.27
Jordan,1,10,10%,6.6
Dominican Republic,1,9,11.11%,6.78
Paraguay,1,9,11.11%,8.67
Mongolia,1,6,16.67%,6.17
Libya,1,4,25%,5.25
Guatemala,1,4,25%,6
Yemen,1,3,33.33%,5.33
Uruguay,1,3,33.33%,8.33
Angola,1,3,33.33%,10.67
Lesotho,1,1,100%,1
New Caledonia,1,1,100%,1
Madagascar,1,1,100%,5
Slovakia,0,41,0%,7.05
United Arab Emirates,0,32,0%,5.75
Macedonia,0,22,0%,2.14
Bulgaria,0,18,0%,7.06
Venezuela,0,13,0%,4.23
Côte d’Ivoire,0,13,0%,5.38
Panama,0,13,0%,8.38
Estonia,0,11,0%,12
Armenia,0,10,0%,5.2
Costa Rica,0,9,0%,3.67
Bosnia & Herzegovina,0,9,0%,4.89
Kyrgyzstan,0,9,0%,5.22
Qatar,0,9,0%,5.22
Kuwait,0,9,0%,6
Slovenia,0,9,0%,7.11
Cambodia,0,9,0%,7.89
Puerto Rico,0,7,0%,4.57
Iceland,0,7,0%,5.14
Cyprus,0,7,0%,6.43
Latvia,0,7,0%,6.43
Moldova,0,6,0%,5
Montenegro,0,6,0%,5.5
Albania,0,6,0%,6.67
Azerbaijan,0,6,0%,7
Palestine,0,6,0%,7.17
Jamaica,0,5,0%,3
Mauritius,0,5,0%,4.4
Belarus,0,5,0%,5.4
Ethiopia,0,5,0%,6
Bahrain,0,5,0%,6.6
Oman,0,5,0%,11.8
Maldives,0,4,0%,1.25
Congo - Kinshasa,0,4,0%,5.5
Kazakhstan,0,4,0%,6.75
Isle of Man,0,4,0%,7
Benin,0,4,0%,7.75
Bolivia,0,4,0%,8
Syria,0,4,0%,9.5
Cuba,0,3,0%,4
Malta,0,3,0%,8
Luxembourg,0,3,0%,8.33
Curaçao,0,3,0%,9
Zambia,0,3,0%,9.33
Afghanistan,0,2,0%,3
Rwanda,0,2,0%,3
Sierra Leone,0,2,0%,3
Lebanon,0,2,0%,5
Honduras,0,2,0%,7.5
Faroe Islands,0,2,0%,8
Nicaragua,0,2,0%,8.5
Kosovo,0,2,0%,8.5
Mauritania,0,2,0%,9
Åland Islands,0,2,0%,10
Unknown Region,0,2,0%,10
Guernsey,0,2,0%,11
Aruba,0,1,0%,1
Brunei,0,1,0%,1
Bhutan,0,1,0%,1
Uganda,0,1,0%,2
South Sudan,0,1,0%,3
Botswana,0,1,0%,4
Myanmar (Burma),0,1,0%,4
Ghana,0,1,0%,5
Andorra,0,1,0%,7
Guam,0,1,0%,7
Macau,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Bahamas,0,1,0%,8
Burkina Faso,0,1,0%,9
Fiji,0,1,0%,9
Guinea,0,1,0%,9
American Samoa,0,1,0%,10
Turks & Caicos Islands,0,1,0%,10
Barbados,0,1,0%,11
North Korea,0,1,0%,11
Tonga,0,1,0%,11
