"Date","Clicks","Impressions","Avg. CTR"
"5/14/2026 12:00:00 AM","1","12","8.33"
"5/15/2026 12:00:00 AM","0","21","0"
"5/16/2026 12:00:00 AM","1","35","2.86"
"5/17/2026 12:00:00 AM","0","29","0"
"5/18/2026 12:00:00 AM","0","24","0"
"5/19/2026 12:00:00 AM","0","21","0"
"5/20/2026 12:00:00 AM","0","22","0"
"5/21/2026 12:00:00 AM","1","47","2.13"
"5/22/2026 12:00:00 AM","0","39","0"
"5/23/2026 12:00:00 AM","4","31","12.9"
"5/24/2026 12:00:00 AM","0","37","0"
"5/25/2026 12:00:00 AM","0","34","0"
"5/26/2026 12:00:00 AM","0","28","0"
"5/27/2026 12:00:00 AM","3","45","6.67"
"5/28/2026 12:00:00 AM","2","40","5"
"5/29/2026 12:00:00 AM","3","35","8.57"
"5/30/2026 12:00:00 AM","1","14","7.14"
"5/31/2026 12:00:00 AM","1","26","3.85"
"6/1/2026 12:00:00 AM","1","54","1.85"
"6/2/2026 12:00:00 AM","3","52","5.77"
"6/3/2026 12:00:00 AM","1","56","1.79"
"6/4/2026 12:00:00 AM","0","42","0"
"6/5/2026 12:00:00 AM","1","37","2.7"
"6/6/2026 12:00:00 AM","1","22","4.55"
"6/7/2026 12:00:00 AM","2","48","4.17"
"6/8/2026 12:00:00 AM","4","65","6.15"
"6/9/2026 12:00:00 AM","2","35","5.71"
"6/10/2026 12:00:00 AM","0","31","0"
"6/11/2026 12:00:00 AM","4","25","16"
"6/12/2026 12:00:00 AM","1","18","5.56"
"6/13/2026 12:00:00 AM","0","25","0"
"6/14/2026 12:00:00 AM","0","27","0"
"6/15/2026 12:00:00 AM","1","28","3.57"
"6/16/2026 12:00:00 AM","2","27","7.41"
"6/17/2026 12:00:00 AM","4","27","14.81"
"6/18/2026 12:00:00 AM","1","7","14.29"
"6/19/2026 12:00:00 AM","0","12","0"
"6/20/2026 12:00:00 AM","0","9","0"
"6/21/2026 12:00:00 AM","1","15","6.67"
"6/22/2026 12:00:00 AM","1","14","7.14"
"6/23/2026 12:00:00 AM","5","29","17.24"
"6/24/2026 12:00:00 AM","0","18","0"
"6/25/2026 12:00:00 AM","2","15","13.33"
"6/26/2026 12:00:00 AM","3","33","9.09"
"6/27/2026 12:00:00 AM","2","18","11.11"
"6/28/2026 12:00:00 AM","1","16","6.25"
"6/29/2026 12:00:00 AM","1","22","4.55"
"6/30/2026 12:00:00 AM","1","8","12.5"
"7/1/2026 12:00:00 AM","1","19","5.26"
"7/2/2026 12:00:00 AM","4","15","26.67"
"7/3/2026 12:00:00 AM","1","23","4.35"
"7/4/2026 12:00:00 AM","2","14","14.29"
"7/5/2026 12:00:00 AM","1","16","6.25"
"7/6/2026 12:00:00 AM","2","6","33.33"
"7/7/2026 12:00:00 AM","0","9","0"
"7/8/2026 12:00:00 AM","0","25","0"
"7/9/2026 12:00:00 AM","2","25","8"
"7/10/2026 12:00:00 AM","3","20","15"
"7/11/2026 12:00:00 AM","2","21","9.52"
